,Trait Accession,Trait Name,odds ratio,exact p-value,adj p-value,Total number of related genes in database,Number of related genes in user/study list
80,TO_0006046,sulfur content,2.315994088,0.00627339,0.022183966,420,14
81,TO_0000249,leaf senescence trait,0.602656072,0.006338276,0.022183966,3101,28
82,TO_0000281,metabolite content trait,2.298946057,0.006463183,0.022348595,423,14
83,TO_0000326,leaf color,2.265589428,0.006895807,0.023560674,429,14
84,TO_0000421,pollen fertility,1.901992098,0.007038293,0.023764588,800,22
85,TO_0020068,beta-glucan content,8.36945741,0.007178445,0.023955974,27,3
86,TO_0000706,hull color,19.12186589,0.007295399,0.02406643,9,2
87,TO_0020094,nitrate content,2.436194909,0.007547439,0.024614944,314,11
88,TO_0000511,phosphorus uptake,2.074963853,0.009772543,0.031457047,534,16
89,TO_0006049,iron concentration,2.808537493,0.009864579,0.031457047,199,8
90,TO_0000382,1000-grain weight,1.880435443,0.010809654,0.034091987,698,19
91,TO_0000298,chlorophyll ratio,14.87230321,0.01093007,0.034097065,11,2
92,TO_0000221,glume color,2.969857132,0.011654987,0.03596754,165,7
93,TO_0001073,fruit shattering,13.38495627,0.012988802,0.039239855,12,2
94,TO_0000458,drought recovery,2.668576369,0.012960803,0.039239855,209,8
95,TO_0000058,herbicide sensitivity,4.464915353,0.014846766,0.044385643,64,4
96,TO_0000456,spikelet number,0.525044121,0.017508765,0.051804285,1657,13
97,TO_0006067,aphid resistance,2.053875157,0.020546034,0.060170527,404,12
98,TO_0000257,root branching,1.836241125,0.02493809,0.07229527,601,16
99,TO_0000333,sugar content,1.59833632,0.026360638,0.075504442,1163,27
100,TO_0000291,carbohydrate content,2.060928566,0.026571249,0.075504442,369,11
101,TO_0020102,phosphate content,2.697986577,0.027989925,0.078755965,155,6
102,TO_0001012,lateral root length,0.398083609,0.029970049,0.083508776,841,5
103,TO_0000439,fungal disease resistance,1.875628502,0.033602459,0.092729862,478,13
104,TO_0000682,inflorescence height,3.306739314,0.037249782,0.101816072,85,4
105,TO_0002625,fruit size,1.963396037,0.038111061,0.103187495,422,12
106,TO_0000008,potassium sensitivity,2.700623681,0.042818022,0.114848338,129,5
107,TO_0000881,flower type,4.016429405,0.043437115,0.115430112,53,3
108,TO_0000085,leaf rolling,1.720888165,0.045162671,0.118914556,640,16
109,TO_0000930,seed shattering,2.350426036,0.048224103,0.125821068,177,6
110,TO_0002647,starch digestibility,3.718786464,0.051992934,0.134432181,57,3
111,TO_0000084,root number,0.773625249,0.055291122,0.1416835,5021,58
112,TO_0000993,cellulose content,1.805444989,0.057194354,0.144506693,496,13
113,TO_0006050,cobalt concentration,2.849101365,0.057399871,0.144506693,98,4
114,TO_0000200,brittle culm,2.819086245,0.059149494,0.147616564,99,4
115,TO_0020101,starch mobilization,2.444082987,0.059899986,0.148200826,142,5
116,TO_0001007,coleoptile length,1.739119976,0.071883215,0.176328911,435,11
117,TO_0002691,peduncle length,0.363538772,0.074286367,0.180679552,553,3
118,TO_0000442,plant fresh weight,4.614738112,0.076216479,0.183816213,31,2
119,TO_0000258,leaf thickness,1.749218411,0.079285295,0.188605252,472,12
