,Ontology Term,Preferred Name,odds ratio,exact p-value,adj p-value,Reference Genes,User/Study Genes
253,TO_0000701,turgor pressure,0.8395756678616132,0.5192357997743187,0.6459783965696247,710,19
254,TO_0000431,ear length,0.3818834688346883,0.524000506861569,0.6493496477186502,81,1
255,TO_0006049,iron concentration,0.6265506665832133,0.5388444788513362,0.6651361535821182,199,4
256,TO_0000200,brittle culm,1.2872196765306267,0.5586923227973568,0.6869524280309913,99,4
257,TO_0000654,shoot system growth and development trait,1.1988066178464876,0.5809115158169535,0.6927095811251219,106,4
258,TO_0000124,flag leaf angle,1.1755889097352512,0.5807739004551156,0.6927095811251219,27,1
259,TO_0000062,phenol reaction,1.1755889097352512,0.5807739004551156,0.6927095811251219,27,1
260,TO_0000360,leaf elongation rate,1.2016999969164281,0.5748340197712283,0.6927095811251219,238,9
261,TO_0000473,grain shattering,1.1467491838955386,0.5729786379618622,0.6927095811251219,415,15
262,TO_0000456,spikelet number,0.910631199366315,0.5721405290718606,0.6927095811251219,1657,48
263,TO_0000189,embryoless,1.2226233062330623,0.5670544358630248,0.6927095811251219,26,1
264,TO_0000281,metabolite content trait,1.124183895538629,0.5793134517327463,0.6927095811251219,423,15
265,TO_0000015,oxygen sensitivity,1.1757317811020007,0.5878409859573492,0.6972549422204423,108,4
266,TO_0020083,stem diameter,0.5657660913827897,0.5891362961166395,0.6972549422204423,110,2
267,TO_0000993,cellulose content,0.8220086530959643,0.6061929062475488,0.712964936695487,496,13
268,TO_0000959,cob length,1.09159891598916,0.6069226834528038,0.712964936695487,29,1
269,TO_0000571,shoot fresh weight,1.1047452561536075,0.6473299836943767,0.7576158327682334,631,22
270,TO_0000504,leaf temperature,0.8754328799762773,0.6529665026951934,0.7613926747294506,646,18
271,TO_0000188,drought sensitivity,0.8080533671405717,0.661567662650447,0.7685859610203722,388,10
272,TO_0000293,chlorophyll a content,1.3007618970718007,0.6689317836017532,0.7742946652679635,49,2
273,TO_0000608,sodium content,0.8947249039075363,0.6806692233083096,0.7848290338180218,773,22
274,TO_0020095,stomatal process related trait,1.0816078797708748,0.6829999503163164,0.7848290338180218,439,15
275,TO_0006053,zinc concentration,1.072462941033799,0.7111126313438435,0.8141724329878788,59,2
276,TO_0000437,male sterility,1.0183507547843518,0.7155149896267763,0.8162553672276581,13612,438
277,TO_0000630,pedicel length,0.4303255849459903,0.7304983379188884,0.821485675382095,72,1
278,TO_0000436,spikelet sterility,0.4700729622680842,0.7256388035688462,0.821485675382095,66,1
279,TO_0002644,dry matter digestibility,0.4850045167118338,0.7249891207243075,0.821485675382095,64,1
280,TO_0000290,flavonoid content,1.068351566644149,0.7301072358293571,0.821485675382095,622,21
281,TO_0000199,genic male sterility,1.0996972593074685,0.7345783679536861,0.8231445541608682,288,10
282,TO_0000996,flag leaf area,1.239278595298118,0.7373609879670795,0.8233430112989297,77,3
283,TO_0000382,1000-grain weight,0.9010590058892588,0.7449257432320582,0.8288610382441212,698,20
284,TO_0000682,inflorescence height,1.118294005608169,0.7523252760582324,0.8341571481908822,85,3
285,0000088,Hessian fly damage,1.0789888556673009,0.7594179272168503,0.8390771503514849,352,12
286,TO_0000300,glucose content,1.0539774852270176,0.7634666550387421,0.8406113693109496,90,3
287,TO_0002667,abscisic acid content,0.6571061306936927,0.7722522926042239,0.8473323766074125,95,2
288,TO_0006017,meristem identity,1.0207581485587582,0.7786892786442673,0.8514387960262577,5296,171
289,TO_0000467,cell membrane stability,1.0714612591907091,0.784749939649735,0.8551068307907458,443,15
290,TO_0001051,root hair density,1.0421283015135028,0.789080250895938,0.8568706504574447,455,15
291,TO_0000190,seed coat color,0.9305235797601301,0.7992722270643078,0.8649658347682235,1150,34
292,TO_0020093,nitrogen content,0.7361978426317148,0.8243653197182668,0.8890765905493936,170,4
293,TO_0000230,crown rootless,0.837107116968086,0.8486639788755816,0.912169446682598,225,6
