,Ontology Term,Preferred Name,odds ratio,exact p-value,adj p-value,Reference Genes,User/Study Genes
145,TO_0000131,leaf water potential,1.604198591114479,0.02092895686792684,0.045298290207293715,563,28
146,TO_0006047,calcium concentration,1.4845231473651357,0.021343559241033733,0.04588139265419497,823,38
147,TO_0005002,oleic acid content,4.078546243558448,0.021891336495728827,0.046740961707096684,34,4
148,TO_0000766,petiole length,1.7455827262419472,0.024045406672028043,0.05099562757289169,371,20
149,TO_0000439,fungal disease resistance,1.6197518287284256,0.025718666653845625,0.05418065775076811,478,24
150,TO_0002660,cytokinin content,0.35994441124160226,0.029440940369254112,0.06161150434890265,343,4
151,TO_0000547,primary branch number,2.0162311247071076,0.03038246533319263,0.06316354635058467,178,11
152,TO_0000519,rooting depth,8.736785036595283,0.03115102202454234,0.06433805856049268,9,2
153,TO_0020099,nitrate transport,1.4303835612130995,0.0328858933073926,0.06748014470867572,875,39
154,TO_0000371,yield trait,1.3453484155383413,0.03633927512929232,0.07408523187649271,1381,58
155,TO_0006042,lithium content,3.3986077208209022,0.03720767297801638,0.07536938885290498,40,4
156,TO_0006066,leaf trichome density,2.239417866747923,0.03930557839200487,0.07861115678400973,132,9
157,TO_0000340,total soluble sugar content,4.3690347071583515,0.03916008652722874,0.07861115678400973,24,3
158,TO_0000449,grain yield per plant,1.5969458470417577,0.040208965557285606,0.07991215796290724,444,22
159,TO_0002616,flowering time trait,3.219676530626811,0.043389161581565486,0.08569359412359184,42,4
160,TO_0000496,carotenoid content,1.5105528063274543,0.0447051891857133,0.08774434647630684,596,28
161,TO_0000447,filled grain number,6.795156772386374,0.04564394303113612,0.08903386418419144,11,2
162,TO_0000050,inflorescence branching,1.3636768415466594,0.04630156965234251,0.08976255220944927,1104,47
163,TO_0000484,seed shape,2.185396308360478,0.0497643648831064,0.09588743477476598,105,7
164,TO_0000058,herbicide sensitivity,2.592332876573751,0.0521854452809516,0.09994303459867093,64,5
165,TO_0000231,endospermless,0.2787331459318151,0.05257945502525963,0.10009101077097617,221,2
166,TO_0000965,ear aspect,6.115586879913256,0.05364493023385221,0.10150777217902573,12,2
167,TO_0000466,carbon content,2.266063621287502,0.05825412129389713,0.1095732281480446,87,6
168,TO_0000444,parasitic weed,1.849811872909699,0.05922496161675122,0.11074016491652891,193,11
169,TO_0011008,stigma length,5.559575149707977,0.06209687330333624,0.11542712919914266,13,2
170,TO_0020106,Indole-3-acetic acid content,1.8002717391304348,0.06456155706615203,0.11930673703452656,198,11
171,TO_0000428,callus induction,1.249536082845695,0.06530927092983167,0.11998680008038842,1917,75
172,TO_0000352,plant dry weight,2.0570187347271247,0.06628717926296712,0.12038361291435408,127,8
173,TO_0006039,petal number,0.4358654367878459,0.06599388250930344,0.12038361291435408,355,5
174,TO_0000625,spikelet density,0.18961941793330978,0.06844817657368119,0.12359785027019002,162,1
175,TO_0000578,root fresh weight,1.5929301306676278,0.06908267892338513,0.12379319535304062,364,18
176,TO_0000280,seedling vigor,2.159348710990502,0.06933985942243098,0.12379319535304062,91,6
177,TO_0000374,breakdown viscosity,3.1635593537287754,0.07983314073074999,0.14172624983661233,32,3
178,TO_0006004,raffinose content,2.1416503800217157,0.085934543562542,0.1508628653653515,107,7
179,TO_0002685,crown root number,3.058080260303688,0.08583642320198832,0.1508628653653515,33,3
180,TO_0001026,respiration rate,1.3288784137919667,0.09748514700406194,0.17019506327780978,866,36
181,TO_0000051,stem strength,0.2008629296819284,0.09895381026164951,0.17180991232242443,153,1
182,TO_0000328,sucrose content,1.3969469376032169,0.09974732153126936,0.1719416223599026,596,26
183,TO_0020098,nitrate sensitivity,1.964659972706173,0.10011790669057619,0.1719416223599026,116,7
184,TO_0000257,root branching,1.3847378848093006,0.1023892095724171,0.17489183905342598,601,26
185,TO_0000396,grain yield trait,1.4613648749071093,0.10715151910882466,0.18204236579778812,461,21
